eventName,securityEventCategory 
ConsoleLogin,LoginActivity
PutBucketAcl,S3BucketActivity 
PutBucketPolicy,S3BucketActivity
PutBucketCors,S3BucketActivity
PutBucketLifecycle,S3BucketActivity
PutBucketReplication,S3BucketActivity
DeleteBucketPolicy,S3BucketActivity
DeleteBucketCors,S3BucketActivity
DeleteBucketLifecycle,S3BucketActivity
DeleteBucketReplication,S3BucketActivity
AuthorizeSecurityGroupIngress,SecurityGroupActivity
AuthorizeSecurityGroupEgress,SecurityGroupActivity
RevokeSecurityGroupIngress,SecurityGroupActivity
RevokeSecurityGroupEgress,SecurityGroupActivity
CreateSecurityGroup,SecurityGroupActivity
DeleteSecurityGroup,SecurityGroupActivity
ApplySecurityGroupsToLoadBalancer,SecurityGroupActivity
SetSecurityGroups,SecurityGroupActivity
AuthorizeDBSecurityGroupIngress,SecurityGroupActivity
CreateDBSecurityGroup,SecurityGroupActivity
DeleteDBSecurityGroup,SecurityGroupActivity
RevokeDBSecurityGroupIngress,SecurityGroupActivity
CreateNetworkAcl,NetworkACLActivity
CreateNetworkAclEntry,NetworkACLActivity
DeleteNetworkAcl,NetworkACLActivity
DeleteNetworkAclEntry,NetworkACLActivity
ReplaceNetworkAclEntry,NetworkACLActivity
ReplaceNetworkAclAssociation,NetworkACLActivity
CreateCustomerGateway,GatewayActivity
DeleteCustomerGateway,GatewayActivity
AttachInternetGateway,GatewayActivity
CreateInternetGateway,GatewayActivity
DeleteInternetGateway,GatewayActivity
DetachInternetGateway,GatewayActivity
CreateVpc,VPCChangeActivity
DeleteVpc,VPCChangeActivity
CreateRoute,VPCChangeActivity
CreateRouteTable,VPCChangeActivity
ModifyVpcAttribute,VPCChangeActivity
AcceptVpcPeeringConnection,VPCChangeActivity
CreateVpcPeeringConnection,VPCChangeActivity
DeleteVpcPeeringConnection,VPCChangeActivity
RejectVpcPeeringConnection,VPCChangeActivity
AttachClassicLinkVpc,VPCChangeActivity
DetachClassicLinkVpc,VPCChangeActivity
DisableVpcClassicLink,VPCChangeActivity
EnableVpcClassicLink,VPCChangeActivity
RunInstances,EC2InstanceActivity
RebootInstances,EC2InstanceActivity
StartInstances,EC2InstanceActivity
StopInstances,EC2InstanceActivity
TerminateInstances,EC2InstanceActivity
CreateTrail,CloudTrailActivity
UpdateTrail,CloudTrailActivity
DeleteTrail,CloudTrailActivity
StartLogging,CloudTrailActivity
StopLogging,CloudTrailActivity
DeleteGroupPolicy,IAMPolicyActivity
DeleteRolePolicy,IAMPolicyActivity
DeleteUserPolicy,IAMPolicyActivity
PutGroupPolicy,IAMPolicyActivity
PutRolePolicy,IAMPolicyActivity
PutUserPolicy,IAMPolicyActivity
CreatePolicy,IAMPolicyActivity
DeletePolicy,IAMPolicyActivity
CreatePolicyVersion,IAMPolicyActivity
DeletePolicyVersion,IAMPolicyActivity
AttachRolePolicy,IAMPolicyActivity
DetachRolePolicy,IAMPolicyActivity
AttachUserPolicy,IAMPolicyActivity
DetachUserPolicy,IAMPolicyActivity
AttachGroupPolicy,IAMPolicyActivity
DetachGroupPolicy,IAMPolicyActivity
